[2018-7-13 1:20:44] [121.22.243.29] 角色名:地方撒	Ident:1018		Recog:0		Param:0		tag:0		series:46		string:
[2018-7-13 1:26:56] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:27:17] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:27:37] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:27:38] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:27:58] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:28:19] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:28:39] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:29:0] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:29:21] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:29:21] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:29:41] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:30:2] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:30:2] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:30:22] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:30:43] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:31:4] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:31:4] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:31:20] [121.22.243.29] 角色名:地方撒	Ident:1010		Recog:234089424		Param:0		tag:0		series:0		string:
[2018-7-13 1:31:24] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
