;代码	X	Y	名称	范围	数量	时间
11	43	480	弓箭守卫	0	1	1
11	49	474	弓箭守卫	0	1	1
11	353	246	弓箭守卫	0	1	1
11	357	243	弓箭守卫	0	1	1
12	327	468	弓箭守卫	0	1	1
12	320	474	弓箭守卫	0	1	1
E605	10	61	弓箭守卫	0	1	20
E605	15	68	弓箭守卫	0	1	20
D601	13	196	弓箭守卫	0	1	20
D601	7	201	弓箭守卫	0	1	20
E601	139	13	弓箭守卫	0	1	20
E601	138	12	弓箭守卫	0	1	20
D422	332	380	弓箭守卫	0	1	20
D422	328	384	弓箭守卫	0	1	20

;地图名：新手练级
0139	25	29	稻草人		30	100	1
0139	25	29	稻草人		30	100	1

;━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━	


;封魔谷
1	51	165	弓箭守卫	0	1	1
1	51	172	弓箭守卫	0	1	1
4	443	184	恶魔弓箭手	0	1	1
4	443	192	恶魔弓箭手	0	1	1
4	256	231	恶魔弓箭手	0	1	1
4	251	236	恶魔弓箭手	0	1	1
4	255	230	恶魔弓箭手	0	1	1
4	250	235	恶魔弓箭手	0	1	1
4	254	229	恶魔弓箭手	0	1	1
4	249	234	恶魔弓箭手	0	1	1
4	253	228	恶魔弓箭手	0	1	1
4	248	233	恶魔弓箭手	0	1	1
4	252	227	恶魔弓箭手	0	1	1
4	247	232	恶魔弓箭手	0	1	1
4	257	186	恶魔弓箭手	0	1	1
4	253	183	恶魔弓箭手	0	1	1
4	256	187	恶魔弓箭手	0	1	1
4	252	184	恶魔弓箭手	0	1	1
4	255	188	恶魔弓箭手	0	1	1
4	251	185	恶魔弓箭手	0	1	1
4	254	189	恶魔弓箭手	0	1	1
4	250	186	恶魔弓箭手	0	1	1
4	253	190	恶魔弓箭手	0	1	1
4	249	187	恶魔弓箭手	0	1	1
4	215	193	恶魔弓箭手	0	1	1
4	219	189	恶魔弓箭手	0	1	1

;-----------------------------------------------------
; 新手地图
xsdt    130    120     魔龙巨蛾       100    20      20
xsdt    130    120     魔龙力士       100    20      20
xsdt    130    120     魔龙战将       100    20      20
xsdt    130    120     暗之魔龙力士   100      20    20
xsdt    130    120     暗之魔龙战将   100      20    20
xsdt    130    120     暗之魔龙巨蛾   100      20    20
xsdt    130    120     魔龙教主1      100     8      59
xsdt    130    120     魔影巨人1      100     8      58
xsdt    130    120     灵魂收割者1    100      8     58
xsdt    130    120     蓝影刀客1      100     8      58
xsdt    130    120     上古黄金龙1    100      8     58
xsdt    130    120     上古蛛后1      100     8      58
xsdt    130    120     远古恶魔1      100     8      58
xsdt    130    120     远古牛尊1      100     8      58

;初级地图  王者禁地
H106    100    100   魔龙巨蛾       100      20      20
H106    100    100   魔龙力士       100      20      20
H106    100    100   魔龙战将       100      20      20
H106    100    100   暗之魔龙力士   100      20      20
H106    100    100   暗之魔龙战将   100      20      20
H106    100    100   暗之魔龙巨蛾   100      20      20
H106    100    100   魔龙教主1      100       5      59
H106    100    100   魔影巨人1      100       5      58
H106    100    100   灵魂收割者1    100        5     58
H106    100    100   蓝影刀客1      100       5      58
H106    100    100   上古黄金龙1    100        5     58
H106    100    100   上古蛛后1      100       5      58
H106    100    100   远古恶魔1      100       5      58
H106    100    100   远古牛尊1      100       5      58
;初级地图  玛雅神殿 1
Fama1    48  48      魔龙巨蛾       50      20      20
Fama1    48  48      魔龙力士       50      20      20
Fama1    48  48      魔龙战将       50     20      20
Fama1    48  48      暗之魔龙力士   50      20      20
Fama1    48  48      暗之魔龙战将   50   20      20
Fama1    48  48      暗之魔龙巨蛾   50   20      20
Fama1    48  48      魔龙教主1    50      2      59
Fama1    48  48      魔影巨人1    50      2      58
Fama1    48  48      灵魂收割者1   50     2     58
Fama1    48  48      蓝影刀客1    50      2      58
Fama1    48  48      上古黄金龙1   50     2     58
Fama1    48  48      上古蛛后1    50      2      58
Fama1    48  48      远古恶魔1    50      2      58
Fama1    48  48      远古牛尊1    50      2      58

;初级地图  玛雅神殿 2
Fama2    45  45      魔龙巨蛾       50      20      20
Fama2    45  45      魔龙力士       50      20      20
Fama2    45  45      魔龙战将       50     20      20
Fama2    45  45      暗之魔龙力士   50      20      20
Fama2    45  45      暗之魔龙战将   50   20      20
Fama2    45  45      暗之魔龙巨蛾   50   20      20
Fama2    45  45      魔龙教主1    50      2      59
Fama2    45  45      魔影巨人1    50      2      58
Fama2    45  45      灵魂收割者1   50     2     58
Fama2    45  45      蓝影刀客1    50      2      58
Fama2    45  45      上古黄金龙1   50     2     58
Fama2    45  45      上古蛛后1    50      2      58
Fama2    45  45      远古恶魔1    50      2      58
Fama2    45  45      远古牛尊1    50      2      58
;初级地图  玛雅神殿 3
Fama3    44  50      魔龙巨蛾       50      20      20
Fama3    44  50      魔龙力士       50      20      20
Fama3    44  50      魔龙战将       50     20      20
Fama3    44  50      暗之魔龙力士   50      20      20
Fama3    44  50      暗之魔龙战将   50   20      20
Fama3    44  50      暗之魔龙巨蛾   50   20      20
Fama3    44  50      魔龙教主1    50      2      59
Fama3    44  50      魔影巨人1    50      2      58
Fama3    44  50      灵魂收割者1   50     2     58
Fama3    44  50      蓝影刀客1    50      2      58
Fama3    44  50      上古黄金龙1   50     2     58
Fama3    44  50      上古蛛后1    50      2      58
Fama3    44  50      远古恶魔1    50      2      58
Fama3    44  50      远古牛尊1    50      2      58

;初级地图  玛雅皇宫
Fama4    20   30      魔龙巨蛾       50   10      20
Fama4    20   30      魔龙力士       50   10      20
Fama4    20   30      魔龙战将       50   10     20
Fama4    20   30      暗之魔龙力士   50     10    20
Fama4    20   30      暗之魔龙战将   50   10      20
Fama4    20   30      暗之魔龙巨蛾   50   10      20
Fama4    20   30      魔龙教主1    50      2      59
Fama4    20   30      魔影巨人1    50      2      58
Fama4    20   30      灵魂收割者1   50     2     58
Fama4    20   30      蓝影刀客1    50      2      58
Fama4    20   30      上古黄金龙1   50     2     58
Fama4    20   30      上古蛛后1    50      2      58
Fama4    20   30      远古恶魔1    50      2      58
Fama4    20   30      远古牛尊1    50      2      58

;初级地图 龙源血路

65    142  99      魔龙巨蛾       50   10      20
65    142  99      魔龙力士       50   10      20
65    142  99      魔龙战将       50   10     20
65    142  99      暗之魔龙力士   50     10    20
65    142  99      暗之魔龙战将   50   10      20
65    142  99      暗之魔龙巨蛾   50   10      20
65    142  99      魔龙教主1    50      2      59
65    142  99      魔影巨人1    50      2      58
65    142  99      灵魂收割者1   50     2     58
65    142  99      蓝影刀客1    50      2      58
65    142  99      上古黄金龙1   50     2     58
65    142  99      上古蛛后1    50      2      58
65    142  99      远古恶魔1    50      2      58
65    142  99      远古牛尊1    50      2      58

;初级地图 地下皇陵 1

di1    50   50      魔龙巨蛾       50   10      20
di1    50   50      魔龙力士       50   10      20
di1    50   50      魔龙战将       50   10     20
di1    50   50      暗之魔龙力士   50     10    20
di1    50   50      暗之魔龙战将   50   10      20
di1    50   50      暗之魔龙巨蛾   50   10      20
di1    50   50      魔龙教主1    50      2      59
di1    50   50      魔影巨人1    50      2      58
di1    50   50      灵魂收割者1   50     2     58
di1    50   50      蓝影刀客1    50      2      58
di1    50   50      上古黄金龙1   50     2     58
di1    50   50      上古蛛后1    50      2      58
di1    50   50      远古恶魔1    50      2      58
di1    50   50      远古牛尊1    50      2      58


;初级地图 地下皇陵2

di2    150  150      魔龙巨蛾     100     10      20
di2    150  150      魔龙力士     100     10      20
di2    150  150      魔龙战将     100     10     20
di2    150  150      暗之魔龙力士   100     10    20
di2    150  150      暗之魔龙战将   100   10      20
di2    150  150      暗之魔龙巨蛾   100   10      20
di2    150  150      魔龙教主1    100      2      59
di2    150  150      魔影巨人1    100      2      58
di2    150  150      灵魂收割者1   100     2     58
di2    150  150      蓝影刀客1    100      2      58
di2    150  150      上古黄金龙1   100     2     58
di2    150  150      上古蛛后1    100      2      58
di2    150  150      远古恶魔1    100      2      58
di2    150  150      远古牛尊1    100      2      58


;初级地图 地下皇陵3

di3    50  50      魔龙巨蛾       50   10      20
di3    50  50      魔龙力士       50   10      20
di3    50  50      魔龙战将       50   10     20
di3    50  50      暗之魔龙力士   50     10    20
di3    50  50      暗之魔龙战将   50   10      20
di3    50  50      暗之魔龙巨蛾   50   10      20
di3    50  50      魔龙教主1    50      2      59
di3    50  50      魔影巨人1    50      2      58
di3    50  50      灵魂收割者1   50     2     58
di3    50  50      蓝影刀客1    50      2      58
di3    50  50      上古黄金龙1   50     2     58
di3    50  50      上古蛛后1    50      2      58
di3    50  50      远古恶魔1    50      2      58
di3    50  50      远古牛尊1    50      2      58

;高级地图 BOSS  1

BOSSG    20  20      魔龙巨蛾       50  5      20
BOSSG    20  20      魔龙力士       50  5      20
BOSSG    20  20      魔龙战将       50  5     20
BOSSG    20  20      暗之魔龙力士   50    5    20
BOSSG    20  20      暗之魔龙战将   50    5    20
BOSSG    20  20      暗之魔龙巨蛾   50    5    20
BOSSG    20  20      魔龙教主1    50     1      59
BOSSG    20  20      魔影巨人1    50     1      58
BOSSG    20  20      灵魂收割者1   50     1    58
BOSSG    20  20      蓝影刀客1    50     1      58
BOSSG    20  20      上古黄金龙1   50     1    58
BOSSG    20  20      上古蛛后1    50     1      58
BOSSG    20  20      远古恶魔1    50     1      58
BOSSG    20  20      远古牛尊1    50     1      58

;高级地图 BOSS  2

BOSS8   65   65      魔龙巨蛾       50  10      20
BOSS8   65   65      魔龙力士       50  10      20
BOSS8   65   65      魔龙战将       50  10     20
BOSS8   65   65      暗之魔龙力士   50    10    20
BOSS8   65   65      暗之魔龙战将   50    10    20
BOSS8   65   65      暗之魔龙巨蛾   50    10    20
BOSS8   65   65      魔龙教主1    50     1      59
BOSS8   65   65      魔影巨人1    50     1      58
BOSS8   65   65      灵魂收割者1   50     1    58
BOSS8   65   65      蓝影刀客1    50     1      58
BOSS8   65   65      上古黄金龙1   50     1    58
BOSS8   65   65      上古蛛后1    50     1      58
BOSS8   65   65      远古恶魔1    50     1      58
BOSS8   65   65      远古牛尊1    50     1      58

;高级地图 幽冥古墓 1

YMGM1   50   50      魔龙巨蛾       50  20      20
YMGM1   50   50      魔龙力士       50  20      20
YMGM1   50   50      魔龙战将       50  20     20
YMGM1   50   50      暗之魔龙力士   50    20    20
YMGM1   50   50      暗之魔龙战将   50    20    20
YMGM1   50   50      暗之魔龙巨蛾   50    20    20
YMGM1   50   50      魔龙教主1    50     1      59
YMGM1   50   50      魔影巨人1    50     1      58
YMGM1   50   50      灵魂收割者1   50     1    58
YMGM1   50   50      蓝影刀客1    50     1      58
YMGM1   50   50      上古黄金龙1   50     1    58
YMGM1   50   50      上古蛛后1    50     1      58
YMGM1   50   50      远古恶魔1    50     1      58
YMGM1   50   50      远古牛尊1    50     1      58

;高级地图 幽冥古墓2

YMGM2   22  22      魔龙巨蛾       50  10      20
YMGM2   22  22      魔龙力士       50  10      20
YMGM2   22  22      魔龙战将       50  10     20
YMGM2   22  22      暗之魔龙力士   50    10    20
YMGM2   22  22      暗之魔龙战将   50    10    20
YMGM2   22  22      暗之魔龙巨蛾   50    10    20
YMGM2   22  22      魔龙教主1    50     1      59
YMGM2   22  22      魔影巨人1    50     1      58
YMGM2   22  22      灵魂收割者1   50     1    58
YMGM2   22  22      蓝影刀客1    50     1      58
YMGM2   22  22      上古黄金龙1   50     1    58
YMGM2   22  22      上古蛛后1    50     1      58
YMGM2   22  22      远古恶魔1    50     1      58
YMGM2   22  22      远古牛尊1    50     1      58


;高级地图 幽冥古墓3

YMGM3   15  18      魔龙巨蛾       50  5      20
YMGM3   15  18      魔龙力士       50  5      20
YMGM3   15  18      魔龙战将       50  5     20
YMGM3   15  18      暗之魔龙力士   50    5    20
YMGM3   15  18      暗之魔龙战将   50    5    20
YMGM3   15  18      暗之魔龙巨蛾   50    5    20
YMGM3   15  18      魔龙教主1    50     1      59
YMGM3   15  18      魔影巨人1    50     1      58
YMGM3   15  18      灵魂收割者1   50     1    58
YMGM3   15  18      蓝影刀客1    50     1      58
YMGM3   15  18      上古黄金龙1   50     1    58
YMGM3   15  18      上古蛛后1    50     1      58
YMGM3   15  18      远古恶魔1    50     1      58
YMGM3   15  18      远古牛尊1    50     1      58

;超级地图 九龙坡

jz111   88  88      魔龙巨蛾       50  20     20
jz111   88  88      魔龙力士       50  20     20
jz111   88  88      魔龙战将       50  20    20
jz111   88  88      暗之魔龙力士   50    20   20
jz111   88  88      暗之魔龙战将   50    20   20
jz111   88  88      暗之魔龙巨蛾   50    20   20
jz111   88  88      魔龙教主1    50     3      59
jz111   88  88      魔影巨人1    50     3      58
jz111   88  88      灵魂收割者1   50     3    58
jz111   88  88      蓝影刀客1    50     3      58
jz111   88  88      上古黄金龙1   50     3    58
jz111   88  88      上古蛛后1    50     3      58
jz111   88  88      远古恶魔1    50     3      58
jz111   88  88      远古牛尊1    50     3      58


;超级地图 无常殿

SHANG0    50   50      魔龙巨蛾       50   10      20
SHANG0    50   50      魔龙力士       50   10      20
SHANG0    50   50      魔龙战将       50   10     20
SHANG0    50   50      暗之魔龙力士   50     10    20
SHANG0    50   50      暗之魔龙战将   50   10      20
SHANG0    50   50      暗之魔龙巨蛾   50   10      20
SHANG0    50   50      魔龙教主1    50      2      59
SHANG0    50   50      魔影巨人1    50      2      58
SHANG0    50   50      灵魂收割者1   50     2     58
SHANG0    50   50      蓝影刀客1    50      2      58
SHANG0    50   50      上古黄金龙1   50     2     58
SHANG0    50   50      上古蛛后1    50      2      58
SHANG0    50   50      远古恶魔1    50      2      58
SHANG0    50   50      远古牛尊1    50      2      58


;超级地图 遗忘之都

GAOJI1   22  22      魔龙巨蛾       50  10      20
GAOJI1   22  22      魔龙力士       50  10      20
GAOJI1   22  22      魔龙战将       50  10     20
GAOJI1   22  22      暗之魔龙力士   50    10    20
GAOJI1   22  22      暗之魔龙战将   50    10    20
GAOJI1   22  22      暗之魔龙巨蛾   50    10    20
GAOJI1   22  22      魔龙教主1    50     1      59
GAOJI1   22  22      魔影巨人1    50     1      58
GAOJI1   22  22      灵魂收割者1   50     1    58
GAOJI1   22  22      蓝影刀客1    50     1      58
GAOJI1   22  22      上古黄金龙1   50     1    58
GAOJI1   22  22      上古蛛后1    50     1      58
GAOJI1   22  22      远古恶魔1    50     1      58
GAOJI1   22  22      远古牛尊1    50     1      58


;超级地图 天空之城

GAOJI2   34   32      魔龙巨蛾       50  10      20
GAOJI2   34   32      魔龙力士       50  10      20
GAOJI2   34   32      魔龙战将       50  10     20
GAOJI2   34   32      暗之魔龙力士   50    10    20
GAOJI2   34   32      暗之魔龙战将   50    10    20
GAOJI2   34   32      暗之魔龙巨蛾   50    10    20
GAOJI2   34   32      魔龙教主1    50     1      59
GAOJI2   34   32      魔影巨人1    50     1      58
GAOJI2   34   32      灵魂收割者1   50     1    58
GAOJI2   34   32      蓝影刀客1    50     1      58
GAOJI2   34   32      上古黄金龙1   50     1    58
GAOJI2   34   32      上古蛛后1    50     1      58
GAOJI2   34   32      远古恶魔1    50     1      58
GAOJI2   34   32      远古牛尊1    50     1      58


;超级地图 至尊殿堂

zzdt   27  25      魔龙巨蛾       50  10      20
zzdt   27  25      魔龙力士       50  10      20
zzdt   27  25      魔龙战将       50  10     20
zzdt   27  25      暗之魔龙力士   50    10    20
zzdt   27  25      暗之魔龙战将   50    10    20
zzdt   27  25      暗之魔龙巨蛾   50    10    20
zzdt   27  25      魔龙教主1    50     1      59
zzdt   27  25      魔影巨人1    50     1      58
zzdt   27  25      灵魂收割者1   50     1    58
zzdt   27  25      蓝影刀客1    50     1      58
zzdt   27  25      上古黄金龙1   50     1    58
zzdt   27  25      上古蛛后1    50     1      58
zzdt   27  25      远古恶魔1    50     1      58
zzdt   27  25      远古牛尊1    50     1      58



;超级地图 暴风神殿

bfsd   27  25      魔龙巨蛾     100    20      20
bfsd   27  25      魔龙力士     100    20      20
bfsd   27  25      魔龙战将     100    20     20
bfsd   27  25      暗之魔龙力士   100    20    20
bfsd   27  25      暗之魔龙战将   100    20    20
bfsd   27  25      暗之魔龙巨蛾   100    20    20
bfsd   27  25      魔龙教主1    100     4      59
bfsd   27  25      魔影巨人1    100     4      58
bfsd   27  25      灵魂收割者1   100     4    58
bfsd   27  25      蓝影刀客1    100     4      58
bfsd   27  25      上古黄金龙1   100     4    58
bfsd   27  25      上古蛛后1    100     4      58
bfsd   27  25      远古恶魔1    100     4      58
bfsd   27  25      远古牛尊1    100     4      58

;深兰幽谷
slyg   100  100       魔龙巨蛾     100    20      20
slyg   100  100       魔龙力士     100    20      20
slyg   100  100       魔龙战将     100    20     20
slyg   100  100       暗之魔龙力士   100    20    20
slyg   100  100       暗之魔龙战将   100    20    20
slyg   100  100       暗之魔龙巨蛾   100    20    20
slyg   100  100       魔龙教主2    100     4      59
slyg   100  100       魔影巨人2    100     4      58
slyg   100  100       灵魂收割者2   100     4    58
slyg   100  100       蓝影刀客2    100     4      58
slyg   100  100       上古黄金龙2   100     4    58
slyg   100  100       上古蛛后2    100     4      58
slyg   100  100       远古恶魔2    100     4      58
slyg   100  100       远古牛尊2    100     4      58
slyg   100  100       如龙魔尊2    100     4      58
slyg   100  100        如龙魔王2    100     4      58

;焚天炼狱
ftly   100  100       魔龙巨蛾     100   20      20
ftly   100  100       魔龙力士     100   20      20
ftly   100  100       魔龙战将     100   20     20
ftly   100  100       暗之魔龙力士   100   20    20
ftly   100  100       暗之魔龙战将   100   20    20
ftly   100  100       暗之魔龙巨蛾   100   20    20
ftly   100  100       魔龙教主2    100     4      59
ftly   100  100       魔影巨人2    100     4      58
ftly   100  100       灵魂收割者2   100     4    58
ftly   100  100       蓝影刀客2    100     4      58
ftly   100  100       上古黄金龙2   100     4    58
ftly   100  100       上古蛛后2    100     4      58
ftly   100  100       远古恶魔2    100     4      58
ftly   100  100       远古牛尊2    100     4      58
ftly   100  100       如龙魔尊2    100     4      58
ftly   100  100       如龙魔王2    100     4      58


;封魔古迹
fmgj   50  20        魔龙巨蛾     50   10      20
fmgj   50  20        魔龙力士     50   10      20
fmgj   50  20        魔龙战将     50   10     20
fmgj   50  20        暗之魔龙力士   50   10    20
fmgj   50  20        暗之魔龙战将   50   10    20
fmgj   50  20        暗之魔龙巨蛾   50   10    20
fmgj   50  20        魔龙教主2    50     2     59
fmgj   50  20        魔影巨人2    50     2     58
fmgj   50  20        灵魂收割者2   50     2   58
fmgj   50  20        蓝影刀客2    50     2     58
fmgj   50  20        上古黄金龙2   50     2   58
fmgj   50  20        上古蛛后2    50     2     58
fmgj   50  20        远古恶魔2    50     2     58
fmgj   50  20        远古牛尊2    50     2     58
fmgj   50  20        如龙魔尊2    50     2     58
fmgj   50  20        如龙魔王2   50     2     58



;精绝古关
jjgg  90  100         魔龙巨蛾     100    20      20
jjgg  90  100         魔龙力士     100    20      20
jjgg  90  100         魔龙战将     100    20     20
jjgg  90  100         暗之魔龙力士   100    20    20
jjgg  90  100         暗之魔龙战将   100    20    20
jjgg  90  100         暗之魔龙巨蛾   100    20    20
jjgg  90  100         魔龙教主2    100     4      59
jjgg  90  100         魔影巨人2    100     4      58
jjgg  90  100         灵魂收割者2   100     4    58
jjgg  90  100         蓝影刀客2    100     4      58
jjgg  90  100         上古黄金龙2   100     4    58
jjgg  90  100         上古蛛后2    100     4      58
jjgg  90  100         远古恶魔2    100     4      58
jjgg  90  100         远古牛尊2    100     4      58
jjgg  90  100         如龙魔尊2    100     4      58
jjgg  90  100         如龙魔王2   100     4      58


;葬神沙漠
zssm  50  50        魔龙巨蛾     50   10      20
zssm  50  50        魔龙力士     50   10      20
zssm  50  50        魔龙战将     50   10     20
zssm  50  50        暗之魔龙力士   50   10    20
zssm  50  50        暗之魔龙战将   50   10    20
zssm  50  50        暗之魔龙巨蛾   50   10    20
zssm  50  50        魔龙教主2    50     2     59
zssm  50  50        魔影巨人2    50     2     58
zssm  50  50        灵魂收割者2   50     2   58
zssm  50  50        蓝影刀客2    50     2     58
zssm  50  50        上古黄金龙2   50     2   58
zssm  50  50        上古蛛后2    50     2     58
zssm  50  50        远古恶魔2    50     2     58
zssm  50  50        远古牛尊2    50     2     58
zssm  50  50        如龙魔尊2    50     2     58
zssm  50  50        如龙魔王2   50     2     58


;荒古剑冢
hgjz  95  95         魔龙巨蛾     100   20      20
hgjz  95  95         魔龙力士     100   20      20
hgjz  95  95         魔龙战将     100   20     20
hgjz  95  95         暗之魔龙力士   100   20    20
hgjz  95  95         暗之魔龙战将   100   20    20
hgjz  95  95         暗之魔龙巨蛾   100   20    20
hgjz  95  95         魔龙教主2    100     4      59
hgjz  95  95         魔影巨人2    100     4      58
hgjz  95  95         灵魂收割者2   100     4    58
hgjz  95  95         蓝影刀客2    100     4      58
hgjz  95  95         上古黄金龙2   100     4    58
hgjz  95  95         上古蛛后2    100     4      58
hgjz  95  95         远古恶魔2    100     4      58
hgjz  95  95         远古牛尊2    100     4      58
hgjz  95  95         如龙魔尊2    100     4      58
hgjz  95  95         如龙魔王2    100     4      58

;荒古剑冢
hshg  46  46          魔龙巨蛾     50   10      20
hshg  46  46          魔龙力士     50   10      20
hshg  46  46          魔龙战将     50   10     20
hshg  46  46          暗之魔龙力士   50   10    20
hshg  46  46          暗之魔龙战将   50   10    20
hshg  46  46          暗之魔龙巨蛾   50   10    20
hshg  46  46          魔龙教主2    50     2     59
hshg  46  46          魔影巨人2    50     2     58
hshg  46  46          灵魂收割者2   50     2   58
hshg  46  46          蓝影刀客2    50     2     58
hshg  46  46          上古黄金龙2   50     2   58
hshg  46  46          上古蛛后2    50     2     58
hshg  46  46          远古恶魔2    50     2     58
hshg  46  46          远古牛尊2    50     2     58
hshg  46  46          如龙魔尊2    50     2     58
hshg  46  46          如龙魔王2    50     2     58


;;传说●宝阁

csbg  60  60          魔龙巨蛾     50   10      20
csbg  60  60          魔龙力士     50   10      20
csbg  60  60          魔龙战将     50   10     20
csbg  60  60          暗之魔龙力士   50   10    20
csbg  60  60          暗之魔龙战将   50   10    20
csbg  60  60          暗之魔龙巨蛾   50   10    20
csbg  60  60          魔龙教主3    50     2     59
csbg  60  60          魔影巨人3    50     2     58
csbg  60  60          灵魂收割者3   50     2   58
csbg  60  60          蓝影刀客3    50     2     58
csbg  60  60          上古黄金龙3   50     2   58
csbg  60  60          上古蛛后3    50     2     58
csbg  60  60          远古恶魔3    50     2     58
csbg  60  60          远古牛尊3    50     2     58
csbg  60  60          如龙魔尊3   50     2     58
csbg  60  60          如龙魔王3    50     2     58
csbg  60  60          传说教主   50     2     58


;;征战●圣殿
zzsd  30   30          魔龙巨蛾     50   10      20
zzsd  30   30          魔龙力士     50   10      20
zzsd  30   30          魔龙战将     50   10     20
zzsd  30   30          暗之魔龙力士   50   10    20
zzsd  30   30          暗之魔龙战将   50   10    20
zzsd  30   30          暗之魔龙巨蛾   50   10    20
zzsd  30   30          魔龙教主3    50     2     59
zzsd  30   30          魔影巨人3    50     2     58
zzsd  30   30          灵魂收割者3   50     2   58
zzsd  30   30          蓝影刀客3    50     2     58
zzsd  30   30          上古黄金龙3   50     2   58
zzsd  30   30          上古蛛后3    50     2     58
zzsd  30   30          远古恶魔3    50     2     58
zzsd  30   30          远古牛尊3    50     2     58
zzsd  30   30          如龙魔尊3    50     2     58
zzsd  30   30          如龙魔王3    50     2     58
zzsd  30   30          征战教主    50     2     58

;;不灭●绝疆
bmjj  50   50          魔龙巨蛾     50   10      20
bmjj  50   50          魔龙力士     50   10      20
bmjj  50   50          魔龙战将     50   10     20
bmjj  50   50          暗之魔龙力士   50   10    20
bmjj  50   50          暗之魔龙战将   50   10    20
bmjj  50   50          暗之魔龙巨蛾   50   10    20
bmjj  50   50          魔龙教主3    50     2     59
bmjj  50   50          魔影巨人3    50     2     58
bmjj  50   50          灵魂收割者3   50     2   58
bmjj  50   50          蓝影刀客3    50     2     58
bmjj  50   50          上古黄金龙3   50     2   58
bmjj  50   50          上古蛛后3   50     2     58
bmjj  50   50          远古恶魔3   50     2     58
bmjj  50   50          远古牛尊3   50     2     58
bmjj  50   50          如龙魔尊3   50     2     58
bmjj  50   50          如龙魔王3   50     2     58
bmjj  50   50          不灭教主    50     2     58



;;殺天●圣宫
stsh  50   50          魔龙巨蛾     50   10      20
stsh  50   50          魔龙力士     50   10      20
stsh  50   50          魔龙战将     50   10     20
stsh  50   50          暗之魔龙力士   50   10    20
stsh  50   50          暗之魔龙战将   50   10    20
stsh  50   50          暗之魔龙巨蛾   50   10    20
stsh  50   50          魔龙教主3   50     2     59
stsh  50   50          魔影巨人3   50     2     58
stsh  50   50          灵魂收割者3   50     2   58
stsh  50   50          蓝影刀客3    50     2     58
stsh  50   50          上古黄金龙3   50     2   58
stsh  50   50          上古蛛后3    50     2     58
stsh  50   50          远古恶魔3    50     2     58
stsh  50   50          远古牛尊3    50     2     58
stsh  50   50          如龙魔尊3    50     2     58
stsh  50   50          如龙魔王3    50     2     58
stsh  50   50          殺天教主    50     2     58

;;弑血●领地
sxld  50   50          魔龙巨蛾     50   10      20
sxld  50   50          魔龙力士     50   10      20
sxld  50   50          魔龙战将     50   10     20
sxld  50   50          暗之魔龙力士   50   10    20
sxld  50   50          暗之魔龙战将   50   10    20
sxld  50   50          暗之魔龙巨蛾   50   10    20
sxld  50   50          魔龙教主3   50     2     59
sxld  50   50          魔影巨人3   50     2     58
sxld  50   50          灵魂收割者3   50     2   58
sxld  50   50          蓝影刀客3    50     2     58
sxld  50   50          上古黄金龙3   50     2   58
sxld  50   50          上古蛛后3    50     2     58
sxld  50   50          远古恶魔3    50     2     58
sxld  50   50          远古牛尊3    50     2     58
